#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	REF_ALLELE	UPLOADED_ALLELE	DISTANCE	STRAND	FLAGS	SYMBOL_SOURCE	HGNC_ID	MANE	MANE_SELECT	MANE_PLUS_CLINICAL	TSL	APPRIS	SIFT	PolyPhen	AF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE	TRANSCRIPTION_FACTORS
chr1_19288433_rs117022236	1:19288432-19288434	rs117022236	intron_variant	MODIFIER	AKR7A3	ENSG00000162482	Transcript	ENST00000361640.5	protein_coding	-	1/6	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:390	MANE_Select	NM_012067.3	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	coding_sequence_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000423664.5	protein_coding	9/9	-	-	-	683-684	335-336	112	-	-	-	-	-	-	-1	cds_end_NF	HGNC	HGNC:30600	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	coding_sequence_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000442942.6	protein_coding	6/7	-	-	-	483-484	350-351	117	-	-	-	-	-	-	-1	cds_end_NF	HGNC	HGNC:30600	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	coding_sequence_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000450041.6	protein_coding	7/8	-	-	-	526-527	224-225	75	-	-	-	-	-	-	-1	cds_end_NF	HGNC	HGNC:30600	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	coding_sequence_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000452980.5	protein_coding	7/8	-	-	-	510-511	350-351	117	-	-	-	-	-	-	-1	cds_end_NF	HGNC	HGNC:30600	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	non_coding_transcript_exon_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000472155.5	retained_intron	8/14	-	-	-	533-534	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:30600	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	non_coding_transcript_exon_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000475591.5	retained_intron	7/13	-	-	-	430-431	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:30600	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	non_coding_transcript_exon_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000494942.5	retained_intron	4/10	-	-	-	215-216	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:30600	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_26294314_rs56039743	1:26294313-26294315	rs56039743	non_coding_transcript_exon_variant	MODIFIER	UBXN11	ENSG00000158062	Transcript	ENST00000496466.1	retained_intron	4/10	-	-	-	214-215	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:30600	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641035.1	lncRNA	-	1/1	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641155.1	lncRNA	-	1/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641177.1	lncRNA	-	1/3	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641302.1	lncRNA	-	1/4	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,NMD_transcript_variant	MODIFIER	-	ENSG00000284686	Transcript	ENST00000641346.1	nonsense_mediated_decay	-	2/2	-	-	-	-	-	-	-	-	-	-	-	-1	cds_start_NF	-	-	-	-	-	-	A2	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,NMD_transcript_variant	MODIFIER	-	ENSG00000284686	Transcript	ENST00000641415.1	nonsense_mediated_decay	-	1/2	-	-	-	-	-	-	-	-	-	-	-	-1	cds_start_NF	-	-	-	-	-	-	A2	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641442.1	lncRNA	-	1/1	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641445.1	lncRNA	-	1/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641502.1	lncRNA	-	2/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641594.1	lncRNA	-	2/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641611.1	lncRNA	-	1/7	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641752.1	lncRNA	-	1/1	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641838.1	lncRNA	-	2/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641876.1	lncRNA	-	1/1	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000641942.1	lncRNA	-	2/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000642068.1	lncRNA	-	1/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_56296718_rs12070360	1:56296717-56296719	rs12070360	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000260971	Transcript	ENST00000642120.1	lncRNA	-	1/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_65868193_rs2840677	1:65868192-65868194	rs2840677	intron_variant	MODIFIER	PDE4B	ENSG00000184588	Transcript	ENST00000329654.8	protein_coding	-	1/16	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:8781	-	-	-	1	A1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_65868193_rs2840677	1:65868192-65868194	rs2840677	intron_variant	MODIFIER	PDE4B	ENSG00000184588	Transcript	ENST00000341517.9	protein_coding	-	1/16	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:8781	MANE_Select	NM_002600.4	-	1	A1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_111350282_rs3820443	1:111350281-111350283	rs3820443	intron_variant	MODIFIER	CIMAP3	ENSG00000173947	Transcript	ENST00000369737.4	protein_coding	-	4/4	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:27009	-	-	-	2	A2	-	-	-	-	-	-	-	-	-	-	-	-
chr1_111350282_rs3820443	1:111350281-111350283	rs3820443	intron_variant	MODIFIER	CIMAP3	ENSG00000173947	Transcript	ENST00000369738.9	protein_coding	-	5/5	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:27009	MANE_Select	NM_181643.6	-	1	P2	-	-	-	-	-	-	-	-	-	-	-	-
chr1_111350282_rs3820443	1:111350281-111350283	rs3820443	downstream_gene_variant	MODIFIER	CHIAP3	ENSG00000234020	Transcript	ENST00000423668.1	transcribed_unprocessed_pseudogene	-	-	-	-	-	-	-	-	-	-	-	-	2992	-1	-	HGNC	HGNC:44464	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_111350282_rs3820443	1:111350281-111350283	rs3820443	intron_variant,non_coding_transcript_variant	MODIFIER	CIMAP3	ENSG00000173947	Transcript	ENST00000468395.1	protein_coding_CDS_not_defined	-	2/2	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:27009	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_111350282_rs3820443	1:111350281-111350283	rs3820443	intron_variant,non_coding_transcript_variant	MODIFIER	CIMAP3	ENSG00000173947	Transcript	ENST00000484512.1	protein_coding_CDS_not_defined	-	4/4	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:27009	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_154447610_rs61812598	1:154447609-154447611	rs61812598	intron_variant	MODIFIER	IL6R	ENSG00000160712	Transcript	ENST00000344086.8	protein_coding	-	6/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:6019	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_154447610_rs61812598	1:154447609-154447611	rs61812598	intron_variant	MODIFIER	IL6R	ENSG00000160712	Transcript	ENST00000368485.8	protein_coding	-	6/9	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:6019	MANE_Select	NM_000565.4	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_154447610_rs61812598	1:154447609-154447611	rs61812598	intron_variant	MODIFIER	IL6R	ENSG00000160712	Transcript	ENST00000476006.5	protein_coding	-	6/7	-	-	-	-	-	-	-	-	-	-	-	1	cds_start_NF,cds_end_NF	HGNC	HGNC:6019	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_154447610_rs61812598	1:154447609-154447611	rs61812598	intron_variant,non_coding_transcript_variant	MODIFIER	IL6R	ENSG00000160712	Transcript	ENST00000507256.1	protein_coding_CDS_not_defined	-	1/4	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:6019	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_154447610_rs61812598	1:154447609-154447611	rs61812598	intron_variant	MODIFIER	IL6R	ENSG00000160712	Transcript	ENST00000515190.1	protein_coding	-	3/5	-	-	-	-	-	-	-	-	-	-	-	1	cds_start_NF,cds_end_NF	HGNC	HGNC:6019	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_169617707_rs2244526	1:169617706-169617708	rs2244526	intron_variant	MODIFIER	SELP	ENSG00000174175	Transcript	ENST00000263686.11	protein_coding	-	2/16	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:10721	MANE_Select	NM_003005.4	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_169617707_rs2244526	1:169617706-169617708	rs2244526	intron_variant	MODIFIER	SELP	ENSG00000174175	Transcript	ENST00000367786.6	protein_coding	-	2/15	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:10721	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_169617707_rs2244526	1:169617706-169617708	rs2244526	intron_variant	MODIFIER	SELP	ENSG00000174175	Transcript	ENST00000367788.6	protein_coding	-	2/14	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:10721	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_169617707_rs2244526	1:169617706-169617708	rs2244526	intron_variant	MODIFIER	SELP	ENSG00000174175	Transcript	ENST00000367795.2	protein_coding	-	2/7	-	-	-	-	-	-	-	-	-	-	-	-1	cds_end_NF	HGNC	HGNC:10721	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_169617707_rs2244526	1:169617706-169617708	rs2244526	intron_variant	MODIFIER	SELP	ENSG00000174175	Transcript	ENST00000426706.6	protein_coding	-	1/14	-	-	-	-	-	-	-	-	-	-	-	-1	cds_start_NF	HGNC	HGNC:10721	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_169617707_rs2244526	1:169617706-169617708	rs2244526	intron_variant	MODIFIER	SELP	ENSG00000174175	Transcript	ENST00000458599.6	protein_coding	-	2/12	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:10721	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_235155395_rs112368830	1:235155394-235155396	rs112368830	intron_variant	MODIFIER	RBM34	ENSG00000188739	Transcript	ENST00000408888.8	protein_coding	-	3/10	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:28965	MANE_Select	NM_015014.4	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_235155395_rs112368830	1:235155394-235155396	rs112368830	intron_variant	MODIFIER	RBM34	ENSG00000188739	Transcript	ENST00000429912.1	protein_coding	-	4/4	-	-	-	-	-	-	-	-	-	-	-	-1	cds_end_NF	HGNC	HGNC:28965	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_235155395_rs112368830	1:235155394-235155396	rs112368830	intron_variant	MODIFIER	RBM34	ENSG00000188739	Transcript	ENST00000447801.5	protein_coding	-	3/9	-	-	-	-	-	-	-	-	-	-	-	-1	cds_start_NF	HGNC	HGNC:28965	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_235155395_rs112368830	1:235155394-235155396	rs112368830	intron_variant,non_coding_transcript_variant	MODIFIER	RBM34	ENSG00000188739	Transcript	ENST00000468751.5	retained_intron	-	2/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:28965	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_235155395_rs112368830	1:235155394-235155396	rs112368830	intron_variant,NMD_transcript_variant	MODIFIER	RBM34	ENSG00000188739	Transcript	ENST00000474086.5	nonsense_mediated_decay	-	2/8	-	-	-	-	-	-	-	-	-	-	-	-1	cds_start_NF	HGNC	HGNC:28965	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_235155395_rs112368830	1:235155394-235155396	rs112368830	intron_variant,NMD_transcript_variant	MODIFIER	ARID4B	ENSG00000054267	Transcript	ENST00000474953.5	nonsense_mediated_decay	-	9/16	-	-	-	-	-	-	-	-	-	-	-	-1	cds_start_NF	HGNC	HGNC:15550	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_235155395_rs112368830	1:235155394-235155396	rs112368830	intron_variant,non_coding_transcript_variant	MODIFIER	RBM34	ENSG00000188739	Transcript	ENST00000475960.1	retained_intron	-	1/1	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:28965	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_235155395_rs112368830	1:235155394-235155396	rs112368830	intron_variant,non_coding_transcript_variant	MODIFIER	RBM34	ENSG00000188739	Transcript	ENST00000476261.5	retained_intron	-	3/4	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:28965	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_235155395_rs112368830	1:235155394-235155396	rs112368830	downstream_gene_variant	MODIFIER	RBM34	ENSG00000188739	Transcript	ENST00000485019.1	protein_coding_CDS_not_defined	-	-	-	-	-	-	-	-	-	-	-	-	4799	-1	-	HGNC	HGNC:28965	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_235155395_rs112368830	1:235155394-235155396	rs112368830	downstream_gene_variant	MODIFIER	RBM34	ENSG00000188739	Transcript	ENST00000486751.5	retained_intron	-	-	-	-	-	-	-	-	-	-	-	-	4754	-1	-	HGNC	HGNC:28965	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_239785965_rs61829244	1:239785964-239785966	rs61829244	intron_variant	MODIFIER	CHRM3	ENSG00000133019	Transcript	ENST00000255380.8	protein_coding	-	3/4	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:1952	-	-	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_239785965_rs61829244	1:239785964-239785966	rs61829244	intron_variant	MODIFIER	CHRM3	ENSG00000133019	Transcript	ENST00000448020.1	protein_coding	-	1/2	-	-	-	-	-	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:1952	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_239785965_rs61829244	1:239785964-239785966	rs61829244	intron_variant,non_coding_transcript_variant	MODIFIER	CHRM3	ENSG00000133019	Transcript	ENST00000468573.5	protein_coding_CDS_not_defined	-	6/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:1952	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr1_239785965_rs61829244	1:239785964-239785966	rs61829244	intron_variant	MODIFIER	CHRM3	ENSG00000133019	Transcript	ENST00000615928.5	protein_coding	-	4/5	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:1952	-	-	-	5	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_239785965_rs61829244	1:239785964-239785966	rs61829244	intron_variant	MODIFIER	CHRM3	ENSG00000133019	Transcript	ENST00000675184.1	protein_coding	-	5/6	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:1952	-	-	-	-	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_239785965_rs61829244	1:239785964-239785966	rs61829244	intron_variant	MODIFIER	CHRM3	ENSG00000133019	Transcript	ENST00000676153.1	protein_coding	-	5/6	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:1952	MANE_Select	NM_001375978.1	-	-	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr1_239785965_rs61829244	1:239785964-239785966	rs61829244	intron_variant	MODIFIER	CHRM3	ENSG00000133019	Transcript	ENST00000676433.1	protein_coding	-	3/4	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:1952	-	-	-	-	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr10_51756589_rs181259817	10:51756588-51756590	rs181259817	intron_variant	MODIFIER	PRKG1	ENSG00000185532	Transcript	ENST00000373976.9	protein_coding	-	3/6	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9414	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr10_51756589_rs181259817	10:51756588-51756590	rs181259817	intron_variant	MODIFIER	PRKG1	ENSG00000185532	Transcript	ENST00000373980.11	protein_coding	-	3/17	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9414	MANE_Select	NM_006258.4	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr10_51756589_rs181259817	10:51756588-51756590	rs181259817	intron_variant	MODIFIER	PRKG1	ENSG00000185532	Transcript	ENST00000401604.8	protein_coding	-	3/17	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9414	-	-	-	5	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr10_51756589_rs181259817	10:51756588-51756590	rs181259817	intron_variant	MODIFIER	PRKG1	ENSG00000185532	Transcript	ENST00000643582.1	protein_coding	-	3/4	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9414	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr10_51756589_rs181259817	10:51756588-51756590	rs181259817	intron_variant	MODIFIER	PRKG1	ENSG00000185532	Transcript	ENST00000643704.1	protein_coding	-	3/5	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9414	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr10_51756589_rs181259817	10:51756588-51756590	rs181259817	intron_variant	MODIFIER	PRKG1	ENSG00000185532	Transcript	ENST00000645324.1	protein_coding	-	3/7	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9414	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
